occupation_title;occupation_code;soc_major_code;occupation_group;employment_2024;employment_2034;emp_change_pct;median_wage_2024;education_required;education_level;automation_risk_score;ai_risk_category;collar_type;growth_category;PosEmpChange
"Medical dosimetrists";29-2036;29;"Healthcare practitioners and technical occupations";4.8;4.9;3.5;138110;"Bachelor's degree";6;7;High;"White-collar";Stable;"TRUE"
"Emergency medical technicians";29-2042;29;"Healthcare practitioners and technical occupations";181;190.2;5.1;41340;"Postsecondary nondegree award";4;7;High;"White-collar";"Growing";"TRUE"
"Paramedics";29-2043;29;"Healthcare practitioners and technical occupations";101.9;107;5;58410;"Postsecondary nondegree award";4;7;High;"White-collar";"Growing";"TRUE"
"Dietetic technicians";29-2051;29;"Healthcare practitioners and technical occupations";30.9;31.7;2.5;37040;"Associate's degree";5;7;High;"White-collar";Stable;"TRUE"
"Pharmacy technicians";29-2052;29;"Healthcare practitioners and technical occupations";490.4;521.8;6.4;43460;"High school diploma or equivalent";2;7;High;"White-collar";"Growing";"TRUE"
"Psychiatric technicians";29-2053;29;"Healthcare practitioners and technical occupations";144.5;173.3;20;42590;"Postsecondary nondegree award";4;7;High;"White-collar";"Growing";"TRUE"
"Surgical technologists";29-2055;29;"Healthcare practitioners and technical occupations";115.6;120.8;4.5;62830;"Postsecondary nondegree award";4;7;High;"White-collar";Stable;"TRUE"
"Veterinary technologists and technicians";29-2056;29;"Healthcare practitioners and technical occupations";134.2;146.4;9.1;45980;"Associate's degree";5;7;High;"White-collar";"Growing";"TRUE"
"Ophthalmic medical technicians";29-2057;29;"Healthcare practitioners and technical occupations";78.8;94.4;19.8;44080;"Postsecondary nondegree award";4;7;High;"White-collar";"Growing";"TRUE"
"Licensed practical and licensed vocational nurses";29-2061;29;"Healthcare practitioners and technical occupations";651.4;668.5;2.6;62340;"Postsecondary nondegree award";4;7;High;"White-collar";Stable;"TRUE"
"Medical records specialists";29-2072;29;"Healthcare practitioners and technical occupations";194.8;208.6;7.1;50250;"Postsecondary nondegree award";4;7;High;"White-collar";"Growing";"TRUE"
"Opticians, dispensing";29-2081;29;"Healthcare practitioners and technical occupations";79.9;82.2;2.9;46560;"High school diploma or equivalent";2;7;High;"White-collar";Stable;"TRUE"
"Orthotists and prosthetists";29-2091;29;"Healthcare practitioners and technical occupations";10.1;11.5;13.3;78310;"Master's degree";7;7;High;"White-collar";"Growing";"TRUE"
"Hearing aid specialists";29-2092;29;"Healthcare practitioners and technical occupations";10.7;12.6;18.4;61560;"High school diploma or equivalent";2;7;High;"White-collar";"Growing";"TRUE"
"Health technologists and technicians, all other";29-2099;29;"Healthcare practitioners and technical occupations";178.8;188.1;5.2;48790;"Postsecondary nondegree award";4;7;High;"White-collar";"Growing";"TRUE"
"Health information technologists and medical registrars";29-9021;29;"Healthcare practitioners and technical occupations";41.9;48.1;14.7;67310;"Associate's degree";5;7;High;"White-collar";"Growing";"TRUE"
"Athletic trainers";29-9091;29;"Healthcare practitioners and technical occupations";33.9;37.6;11.1;60250;"Master's degree";7;7;High;"White-collar";"Growing";"TRUE"
"Genetic counselors";29-9092;29;"Healthcare practitioners and technical occupations";4;4.3;9.3;98910;"Master's degree";7;7;High;"White-collar";"Growing";"TRUE"
"Surgical assistants";29-9093;29;"Healthcare practitioners and technical occupations";25.3;26.6;5.1;60290;"Postsecondary nondegree award";4;7;High;"White-collar";"Growing";"TRUE"
"Healthcare practitioners and technical workers, all other";29-9099;29;"Healthcare practitioners and technical occupations";41.7;43.1;3.6;64030;"Postsecondary nondegree award";4;7;High;"White-collar";Stable;"TRUE"
"Home health and personal care aides";31-1120;31;"Healthcare support occupations";4347.7;5087.5;17;34900;"High school diploma or equivalent";2;6;Medium;"Blue-collar";"Growing";"TRUE"
"Nursing assistants";31-1131;31;"Healthcare support occupations";1441.5;1474;2.3;39530;"Postsecondary nondegree award";4;6;Medium;"Blue-collar";Stable;"TRUE"
"Orderlies";31-1132;31;"Healthcare support occupations";54;55.8;3.3;37700;"High school diploma or equivalent";2;6;Medium;"Blue-collar";Stable;"TRUE"
"Psychiatric aides";31-1133;31;"Healthcare support occupations";38.5;38.3;-0.4;41590;"High school diploma or equivalent";2;6;Medium;"Blue-collar";Stable;FALSE
"Occupational therapy assistants";31-2011;31;"Healthcare support occupations";49.2;58.7;19.2;68340;"Associate's degree";5;6;Medium;"Blue-collar";"Growing";"TRUE"
"Occupational therapy aides";31-2012;31;"Healthcare support occupations";5.2;5.3;2.5;37370;"High school diploma or equivalent";2;6;Medium;"Blue-collar";Stable;"TRUE"
"Physical therapist assistants";31-2021;31;"Healthcare support occupations";111.5;136;22;65510;"Associate's degree";5;6;Medium;"Blue-collar";"Growing";"TRUE"
"Physical therapist aides";31-2022;31;"Healthcare support occupations";45.6;46.9;2.8;34520;"High school diploma or equivalent";2;6;Medium;"Blue-collar";Stable;"TRUE"
"Massage therapists";31-9011;31;"Healthcare support occupations";168;193.9;15.4;57950;"Postsecondary nondegree award";4;6;Medium;"Blue-collar";"Growing";"TRUE"
"Dental assistants";31-9091;31;"Healthcare support occupations";381.9;406.3;6.4;47300;"Postsecondary nondegree award";4;6;Medium;"Blue-collar";"Growing";"TRUE"
"Medical assistants";31-9092;31;"Healthcare support occupations";811;912.2;12.5;44200;"Postsecondary nondegree award";4;6;Medium;"Blue-collar";"Growing";"TRUE"
"Medical equipment preparers";31-9093;31;"Healthcare support occupations";76.5;84.2;10;46490;"High school diploma or equivalent";2;6;Medium;"Blue-collar";"Growing";"TRUE"
"Medical transcriptionists";31-9094;31;"Healthcare support occupations";43.9;41.8;-4.9;37550;"Postsecondary nondegree award";4;6;Medium;"Blue-collar";Stable;FALSE
"Pharmacy aides";31-9095;31;"Healthcare support occupations";41.1;41.1;-0.1;37000;"High school diploma or equivalent";2;6;Medium;"Blue-collar";Stable;FALSE
"Veterinary assistants and laboratory animal caretakers";31-9096;31;"Healthcare support occupations";117.8;128.1;8.7;37320;"High school diploma or equivalent";2;6;Medium;"Blue-collar";"Growing";"TRUE"
Phlebotomists;31-9097;31;"Healthcare support occupations";139.7;147.5;5.6;43660;"Postsecondary nondegree award";4;6;Medium;"Blue-collar";"Growing";"TRUE"
"Healthcare support workers, all other";31-9099;31;"Healthcare support occupations";109.7;113.5;3.5;46050;"High school diploma or equivalent";2;6;Medium;"Blue-collar";Stable;"TRUE"
"First-line supervisors of correctional officers";33-1011;33;"Protective service occupations";57.1;55.5;-2.8;76310;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;FALSE
"First-line supervisors of police and detectives";33-1012;33;"Protective service occupations";160.8;165.4;2.9;105980;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"First-line supervisors of firefighting and prevention workers";33-1021;33;"Protective service occupations";97.2;100.5;3.4;92430;"Postsecondary nondegree award";4;3;Low;"Blue-collar";Stable;"TRUE"
"First-line supervisors of security workers";33-1091;33;"Protective service occupations";71.9;73.8;2.7;58610;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"First-line supervisors of protective service workers, all other";33-1099;33;"Protective service occupations";21.5;21.8;1.6;74960;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Firefighters";33-2011;33;"Protective service occupations";344.9;356.7;3.4;59530;"Postsecondary nondegree award";4;3;Low;"Blue-collar";Stable;"TRUE"
"Fire inspectors and investigators";33-2021;33;"Protective service occupations";14.7;15.2;3.8;78060;"Postsecondary nondegree award";4;3;Low;"Blue-collar";Stable;"TRUE"
"Forest fire inspectors and prevention specialists";33-2022;33;"Protective service occupations";2.9;3.3;14.6;52380;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
Bailiffs;33-3011;33;"Protective service occupations";19;18.6;-2.2;57050;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;FALSE
"Correctional officers and jailers";33-3012;33;"Protective service occupations";387.5;357.4;-7.8;57970;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Declining";FALSE
"Detectives and criminal investigators";33-3021;33;"Protective service occupations";117.9;117.1;-0.7;93580;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;FALSE
"Fish and game wardens";33-3031;33;"Protective service occupations";7;6.6;-6;68180;"Bachelor's degree";6;3;Low;"Blue-collar";"Declining";FALSE
"Parking enforcement workers";33-3041;33;"Protective service occupations";8.4;8.2;-1.5;47150;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;FALSE
"Police and sheriff's patrol officers";33-3051;33;"Protective service occupations";698.8;720.8;3.1;76290;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Transit and railroad police";33-3052;33;"Protective service occupations";3.1;3.2;3;82320;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Animal control workers";33-9011;33;"Protective service occupations";12.2;12.7;3.9;45830;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Private detectives and investigators";33-9021;33;"Protective service occupations";43.6;46.2;6;52370;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"Gambling surveillance officers and gambling investigators";33-9031;33;"Protective service occupations";10.3;10.3;0.3;43900;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Security guards";33-9032;33;"Protective service occupations";1262.1;1267.1;0.4;38370;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Crossing guards and flaggers";33-9091;33;"Protective service occupations";91.4;94.7;3.6;37700;"No formal educational credential";1;3;Low;"Blue-collar";Stable;"TRUE"
"Lifeguards, ski patrol, and other recreational protective service workers";33-9092;33;"Protective service occupations";149.7;158.4;5.8;33720;"No formal educational credential";1;3;Low;"Blue-collar";"Growing";"TRUE"
"Transportation security screeners";33-9093;33;"Protective service occupations";50.1;47.1;-6;63360;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Declining";FALSE
"School bus monitors";33-9094;33;"Protective service occupations";71.4;69.5;-2.7;34980;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;FALSE
"Protective service workers, all other";33-9099;33;"Protective service occupations";84;86.1;2.5;41600;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Chefs and head cooks";35-1011;35;"Food preparation and serving related occupations";197.3;211.3;7.1;60990;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"First-line supervisors of food preparation and serving workers";35-1012;35;"Food preparation and serving related occupations";1215;1288;6;42010;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
Cooks, fast food;35-2011;35;"Food preparation and serving related occupations";669.5;579.2;-13.5;30160;"No formal educational credential";1;2;Low;"Blue-collar";"Declining";FALSE
"Cooks, institution and cafeteria";35-2012;35;"Food preparation and serving related occupations";466.1;475.4;2;36450;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Cooks, private household";35-2013;35;"Food preparation and serving related occupations";34.2;36;5.1;44530;"Postsecondary nondegree award";4;2;Low;"Blue-collar";"Growing";"TRUE"
"Cooks, restaurant";35-2014;35;"Food preparation and serving related occupations";1460.2;1677.2;14.9;36830;"No formal educational credential";1;2;Low;"Blue-collar";"Growing";"TRUE"
"Cooks, short order";35-2015;35;"Food preparation and serving related occupations";151.1;142.7;-5.6;35620;"No formal educational credential";1;2;Low;"Blue-collar";"Declining";FALSE
"Cooks, all other";35-2019;35;"Food preparation and serving related occupations";24;25.3;5.5;36210;"No formal educational credential";1;2;Low;"Blue-collar";"Growing";"TRUE"
"Food preparation workers";35-2021;35;"Food preparation and serving related occupations";902.7;871.8;-3.4;34220;"No formal educational credential";1;2;Low;"Blue-collar";Stable;FALSE
"Bartenders";35-3011;35;"Food preparation and serving related occupations";756.7;801.5;5.9;33530;"No formal educational credential";1;2;Low;"Blue-collar";"Growing";"TRUE"
"Fast food and counter workers";35-3023;35;"Food preparation and serving related occupations";3796;4029.2;6.1;30480;"No formal educational credential";1;2;Low;"Blue-collar";"Growing";"TRUE"
"Waiters and waitresses";35-3031;35;"Food preparation and serving related occupations";2329.7;2313.5;-0.7;33760;"No formal educational credential";1;2;Low;"Blue-collar";Stable;FALSE
"Food servers, nonrestaurant";35-3041;35;"Food preparation and serving related occupations";277.2;285.3;3;34460;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Dining room and cafeteria attendants and bartender helpers";35-9011;35;"Food preparation and serving related occupations";527.4;560.6;6.3;32670;"No formal educational credential";1;2;Low;"Blue-collar";"Growing";"TRUE"
"Dishwashers";35-9021;35;"Food preparation and serving related occupations";477.7;478.6;0.2;33670;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Hosts and hostesses, restaurant, lounge, and coffee shop";35-9031;35;"Food preparation and serving related occupations";429.9;423.5;-1.5;30380;"No formal educational credential";1;2;Low;"Blue-collar";Stable;FALSE
"Food preparation and serving related workers, all other";35-9099;35;"Food preparation and serving related occupations";90.5;96.3;6.4;34830;"No formal educational credential";1;2;Low;"Blue-collar";"Growing";"TRUE"
"First-line supervisors of housekeeping and janitorial workers";37-1011;37;"Building and grounds cleaning and maintenance occupations";269.8;276.4;2.5;47520;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"First-line supervisors of landscaping, lawn service, and groundskeeping workers";37-1012;37;"Building and grounds cleaning and maintenance occupations";224.7;230;2.3;56170;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Janitors and cleaners, except maids and housekeeping cleaners";37-2011;37;"Building and grounds cleaning and maintenance occupations";2447.7;2495.5;2;35930;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Maids and housekeeping cleaners";37-2012;37;"Building and grounds cleaning and maintenance occupations";1356.8;1362.8;0.4;34660;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Building cleaning workers, all other";37-2019;37;"Building and grounds cleaning and maintenance occupations";18.1;18.5;2.5;42360;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Pest control workers";37-2021;37;"Building and grounds cleaning and maintenance occupations";102.4;107.5;4.9;44730;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Landscaping and groundskeeping workers";37-3011;37;"Building and grounds cleaning and maintenance occupations";1192.5;1235;3.6;38090;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Pesticide handlers, sprayers, and applicators, vegetation";37-3012;37;"Building and grounds cleaning and maintenance occupations";29.6;30.7;3.8;45200;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Tree trimmers and pruners";37-3013;37;"Building and grounds cleaning and maintenance occupations";60.1;62.1;3.3;50430;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Grounds maintenance workers, all other";37-3019;37;"Building and grounds cleaning and maintenance occupations";14.1;14.5;2.4;43410;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"First-line supervisors of gambling services workers";39-1013;39;"Personal care and service occupations";32.5;33.1;2;61590;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"First-line supervisors of entertainment and recreation workers, except gambling services";39-1014;39;"Personal care and service occupations";123.3;131.1;6.3;46900;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"First-line supervisors of personal service workers";39-1022;39;"Personal care and service occupations";149.1;159.1;6.7;47080;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"Animal trainers";39-2011;39;"Personal care and service occupations";47.3;49.8;5.1;38750;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"Animal caretakers";39-2021;39;"Personal care and service occupations";392.1;439.6;12.1;33470;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"Gambling dealers";39-3011;39;"Personal care and service occupations";88.7;88.1;-0.6;33280;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;FALSE
"Gambling and sports book writers and runners";39-3012;39;"Personal care and service occupations";8.2;7.7;-6.1;30460;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Declining";FALSE
"Gambling service workers, all other";39-3019;39;"Personal care and service occupations";16.1;16;-0.6;34530;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;FALSE
"Motion picture projectionists";39-3021;39;"Personal care and service occupations";2;2;-3.7;38180;"No formal educational credential";1;3;Low;"Blue-collar";Stable;FALSE
"Ushers, lobby attendants, and ticket takers";39-3031;39;"Personal care and service occupations";121.7;123.1;1.2;31150;"No formal educational credential";1;3;Low;"Blue-collar";Stable;"TRUE"
"Amusement and recreation attendants";39-3091;39;"Personal care and service occupations";392.3;405.5;3.4;30490;"No formal educational credential";1;3;Low;"Blue-collar";Stable;"TRUE"
"Costume attendants";39-3092;39;"Personal care and service occupations";6.7;7.1;5.9;54810;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"Locker room, coatroom, and dressing room attendants";39-3093;39;"Personal care and service occupations";15.6;16.6;6.4;34800;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"Entertainment attendants and related workers, all other";39-3099;39;"Personal care and service occupations";8.5;8.8;3.6;34550;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Embalmers";39-4011;39;"Personal care and service occupations";3.6;3.7;1.3;56280;"Associate's degree";5;3;Low;"Blue-collar";Stable;"TRUE"
"Crematory operators";39-4012;39;"Personal care and service occupations";3.1;3.2;3.3;42880;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Funeral attendants";39-4021;39;"Personal care and service occupations";32.5;33.5;3.1;34610;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Morticians, undertakers, and funeral arrangers";39-4031;39;"Personal care and service occupations";27.5;28.4;3.1;49800;"Associate's degree";5;3;Low;"Blue-collar";Stable;"TRUE"
"Barbers";39-5011;39;"Personal care and service occupations";76;79.2;4.1;38960;"Postsecondary nondegree award";4;3;Low;"Blue-collar";Stable;"TRUE"
"Hairdressers, hairstylists, and cosmetologists";39-5012;39;"Personal care and service occupations";575.2;607.4;5.6;35250;"Postsecondary nondegree award";4;3;Low;"Blue-collar";"Growing";"TRUE"
"Makeup artists, theatrical and performance";39-5091;39;"Personal care and service occupations";7;7.6;8.1;50280;"Postsecondary nondegree award";4;3;Low;"Blue-collar";"Growing";"TRUE"
"Manicurists and pedicurists";39-5092;39;"Personal care and service occupations";210.1;224.8;7;34660;"Postsecondary nondegree award";4;3;Low;"Blue-collar";"Growing";"TRUE"
"Shampooers";39-5093;39;"Personal care and service occupations";18.5;19.6;5.5;31470;"No formal educational credential";1;3;Low;"Blue-collar";"Growing";"TRUE"
"Skincare specialists";39-5094;39;"Personal care and service occupations";97.4;103.9;6.7;41560;"Postsecondary nondegree award";4;3;Low;"Blue-collar";"Growing";"TRUE"
"Baggage porters and bellhops";39-6011;39;"Personal care and service occupations";32.5;32;-1.6;36020;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;FALSE
"Concierges";39-6012;39;"Personal care and service occupations";45.6;46.7;2.3;37320;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Tour and travel guides";39-7010;39;"Personal care and service occupations";55.8;60.3;8.1;36660;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"Childcare workers";39-9011;39;"Personal care and service occupations";991.6;962.4;-2.9;32050;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;FALSE
"Exercise trainers and group fitness instructors";39-9031;39;"Personal care and service occupations";370.1;414.2;11.9;46180;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"Recreation workers";39-9032;39;"Personal care and service occupations";327.7;341.1;4.1;35380;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Residential advisors";39-9041;39;"Personal care and service occupations";91.2;94.7;3.8;39180;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Personal care and service workers, all other";39-9099;39;"Personal care and service occupations";94.4;100.4;6.4;37900;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"First-line supervisors of retail sales workers";41-1011;41;"Sales and related occupations";1432.6;1360.3;-5;47320;"High school diploma or equivalent";2;6;Medium;"White-collar";"Declining";FALSE
"First-line supervisors of non-retail sales workers";41-1012;41;"Sales and related occupations";320;320;0;84130;"High school diploma or equivalent";2;6;Medium;"White-collar";Stable;"TRUE"
"Cashiers";41-2011;41;"Sales and related occupations";3157.2;2843.6;-9.9;31190;"No formal educational credential";1;6;Medium;"White-collar";"Declining";FALSE
"Gambling change persons and booth cashiers";41-2012;41;"Sales and related occupations";22.6;21.1;-6.4;34810;"No formal educational credential";1;6;Medium;"White-collar";"Declining";FALSE
"Counter and rental clerks";41-2021;41;"Sales and related occupations";408.2;421.3;3.2;38540;"No formal educational credential";1;6;Medium;"White-collar";Stable;"TRUE"
"Parts salespersons";41-2022;41;"Sales and related occupations";272.1;280.6;3.1;37440;"No formal educational credential";1;6;Medium;"White-collar";Stable;"TRUE"
"Retail salespersons";41-2031;41;"Sales and related occupations";3936.7;3917.1;-0.5;34580;"No formal educational credential";1;6;Medium;"White-collar";Stable;FALSE
"Advertising sales agents";41-3011;41;"Sales and related occupations";103.7;97.1;-6.4;61460;"High school diploma or equivalent";2;6;Medium;"White-collar";"Declining";FALSE
"Insurance sales agents";41-3021;41;"Sales and related occupations";568.8;589.8;3.7;60370;"High school diploma or equivalent";2;6;Medium;"White-collar";Stable;"TRUE"
"Securities, commodities, and financial services sales agents";41-3031;41;"Sales and related occupations";514.5;531.6;3.3;78140;"Bachelor's degree";6;6;Medium;"White-collar";Stable;"TRUE"
"Travel agents";41-3041;41;"Sales and related occupations";65.7;67.2;2.2;48450;"High school diploma or equivalent";2;6;Medium;"White-collar";Stable;"TRUE"
"Sales representatives of services, except advertising, insurance, financial services, and travel";41-3091;41;"Sales and related occupations";1226.7;1264.7;3.1;66260;"High school diploma or equivalent";2;6;Medium;"White-collar";Stable;"TRUE"
"Sales representatives, wholesale and manufacturing, technical and scientific products";41-4011;41;"Sales and related occupations";303.2;308.9;1.9;100070;"Bachelor's degree";6;6;Medium;"White-collar";Stable;"TRUE"
"Sales representatives, wholesale and manufacturing, except technical and scientific products";41-4012;41;"Sales and related occupations";1310.5;1314.9;0.3;66780;"High school diploma or equivalent";2;6;Medium;"White-collar";Stable;"TRUE"
"Demonstrators and product promoters";41-9011;41;"Sales and related occupations";79.2;79.1;-0.1;37960;"No formal educational credential";1;6;Medium;"White-collar";Stable;FALSE
Models;41-9012;41;"Sales and related occupations";6.7;6.7;-0.5;89990;"No formal educational credential";1;6;Medium;"White-collar";Stable;FALSE
"Real estate brokers";41-9021;41;"Sales and related occupations";111.3;115;3.3;72280;"High school diploma or equivalent";2;6;Medium;"White-collar";Stable;"TRUE"
"Real estate sales agents";41-9022;41;"Sales and related occupations";420.9;433.7;3.1;56320;"High school diploma or equivalent";2;6;Medium;"White-collar";Stable;"TRUE"
"Sales engineers";41-9031;41;"Sales and related occupations";56.8;59.9;5.5;121520;"Bachelor's degree";6;6;Medium;"White-collar";"Growing";"TRUE"
"Telemarketers";41-9041;41;"Sales and related occupations";67.4;52.5;-22.1;34410;"No formal educational credential";1;6;Medium;"White-collar";"Declining";FALSE
"Door-to-door sales workers, news and street vendors, and related workers";41-9091;41;"Sales and related occupations";25.3;22.8;-10;34530;"No formal educational credential";1;6;Medium;"White-collar";"Declining";FALSE
"Sales and related workers, all other";41-9099;41;"Sales and related occupations";122.6;127.1;3.7;46370;"High school diploma or equivalent";2;6;Medium;"White-collar";Stable;"TRUE"
"First-line supervisors of office and administrative support workers";43-1011;43;"Office and administrative support occupations";1558.4;1554.4;-0.3;66140;"High school diploma or equivalent";2;9;High;"White-collar";Stable;FALSE
"Switchboard operators, including answering service";43-2011;43;"Office and administrative support occupations";36.6;27;-26.3;38370;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Telephone operators";43-2021;43;"Office and administrative support occupations";4;2.9;-27.5;39130;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Communications equipment operators, all other";43-2099;43;"Office and administrative support occupations";1.4;1.5;2.5;49910;"High school diploma or equivalent";2;9;High;"White-collar";Stable;"TRUE"
"Bill and account collectors";43-3011;43;"Office and administrative support occupations";166.9;149.4;-10.5;46040;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Billing and posting clerks";43-3021;43;"Office and administrative support occupations";429.8;427.9;-0.4;47170;"High school diploma or equivalent";2;9;High;"White-collar";Stable;FALSE
"Bookkeeping, accounting, and auditing clerks";43-3031;43;"Office and administrative support occupations";1613.4;1519.1;-5.8;49210;"Some college, no degree";3;9;High;"White-collar";"Declining";FALSE
"Gambling cage workers";43-3041;43;"Office and administrative support occupations";14.1;13.4;-5;36990;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Payroll and timekeeping clerks";43-3051;43;"Office and administrative support occupations";161.1;134.2;-16.7;55290;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Procurement clerks";43-3061;43;"Office and administrative support occupations";61.9;56.6;-8.7;48510;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Tellers";43-3071;43;"Office and administrative support occupations";347.4;302.5;-12.9;39340;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Financial clerks, all other";43-3099;43;"Office and administrative support occupations";38.9;39.4;1.4;52150;"High school diploma or equivalent";2;9;High;"White-collar";Stable;"TRUE"
"Brokerage clerks";43-4011;43;"Office and administrative support occupations";40.8;36.9;-9.5;62940;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Correspondence clerks";43-4021;43;"Office and administrative support occupations";6.9;6.5;-5.6;46740;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Court, municipal, and license clerks";43-4031;43;"Office and administrative support occupations";180.4;185.9;3;47700;"High school diploma or equivalent";2;9;High;"White-collar";Stable;"TRUE"
"Credit authorizers, checkers, and clerks";43-4041;43;"Office and administrative support occupations";12;11.3;-6.2;49130;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Customer service representatives";43-4051;43;"Office and administrative support occupations";2814;2660.3;-5.5;42830;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Eligibility interviewers, government programs";43-4061;43;"Office and administrative support occupations";166.8;168.5;1;51500;"High school diploma or equivalent";2;9;High;"White-collar";Stable;"TRUE"
"File clerks";43-4071;43;"Office and administrative support occupations";84.3;70.9;-15.9;41270;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Hotel, motel, and resort desk clerks";43-4081;43;"Office and administrative support occupations";264.2;274;3.7;34270;"High school diploma or equivalent";2;9;High;"White-collar";Stable;"TRUE"
"Interviewers, except eligibility and loan";43-4111;43;"Office and administrative support occupations";164.3;145.1;-11.6;43830;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Library assistants, clerical";43-4121;43;"Office and administrative support occupations";84.5;78.9;-6.7;36010;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Loan interviewers and clerks";43-4131;43;"Office and administrative support occupations";177.6;173.5;-2.3;48950;"High school diploma or equivalent";2;9;High;"White-collar";Stable;FALSE
"New accounts clerks";43-4141;43;"Office and administrative support occupations";38.9;33.8;-13.2;46610;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Order clerks";43-4151;43;"Office and administrative support occupations";89.5;74.1;-17.2;44660;"Some college, no degree";3;9;High;"White-collar";"Declining";FALSE
